
"Issue Id","Issue Type","Epic Name","Summary","Description","Parent","Module","Component","Execution Context","Acceptance Criteria","Story Points","Assignee","Reporter","Priority","Labels","Fix Versions","Sprint","Original Estimate","Remaining Estimate","Due Date","Attachment URL","External Id","Manifest Path","QA Status","Estimate Confidence"
"EPIC-SF-DG-MVP","Epic","Snowflake Document-Generation (MVP)","Snowflake backend for standalone Document‑Generation MVP","Implement Snowflake core DDL, ingestion, Snowpark stored procedures (billing preview + run), External Functions for similarity, FAISS index pipeline, provisioning, tests and CI so Document Generation can run as a standalone app.","","Snowflake","Platform","Snowflake (MVP)","All Snowflake artifacts applied, registered and passing smoke + deterministic tests in staging.","13","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","snowflake,mvp","v0.1-MVP","Sprint 1","14400","14400","","EPIC-SF-DG-MVP","manifest/snowflake/epics/EPIC-SF-DG-MVP","Planned","High"
"ST-SF-001","Story","Core DDL & Tables","Create core Snowflake DDL for Document Generation (tables + comments)","Create AI_PLATFORM.AI_FEATURE_HUB core DDL: DOCUMENT, TEMPLATE, CLAUSE, TENANT_FEATURE_USAGE, ACCOUNT_FEATURE_PRICING, BILLING_RUN, BILLING_LINE_ITEM, DOCUMENT_EMBEDDINGS, EVIDENCE_BUNDLE and associated comments and clustering keys.","EPIC-SF-DG-MVP","Snowflake","DDL","Snowflake","All core tables exist with required columns and comments; sample insert/read succeeds.","8","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","snowflake,ddl","v0.1-MVP","Sprint 1","14400","14400","","SFDG.SF.DDL.001","sql/core/ai_feature_hub_core_tables.sql","Planned","High"
"SUB-SF-001-01","Sub-task","Create DDL: DOCUMENT_ARCHIVE & EVIDENCE_BUNDLE","DDL: DOCUMENTARCHIVE and EVIDENCE_BUNDLE","Create DOCUMENTARCHIVE and EVIDENCE_BUNDLE tables with columns: DOCUMENTID, TEMPLATEID, ASSEMBLYRUNID, URL, HASH, CREATEDAT TIMESTAMPLTZ, CREATEDBY, JURISDICTION, RETENTIONTAG etc. Add table comments and clustering keys.","ST-SF-001","Snowflake","DDL","Snowflake","DDL deploys cleanly; example insert/read returns same values.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","snowflake,archive","v0.1-MVP","Sprint 1","7200","7200","","SFDG.SF.DDL.001.S1","sql/coreschema.sql; sql/evidence/","Planned","High"
"SUB-SF-001-02","Sub-task","Create DDL: EMBEDDINGS & VECTOR store","DDL: DOCUMENT_EMBEDDINGS and VECTOR store","Create DOCUMENT_EMBEDDINGS (document_id, embedding VARIANT/ARRAY, provenance, metadata) and VECTORSTORE table for optional Snowflake vectors; add comments and indexes/cluster keys.","ST-SF-001","Snowflake","DDL","Snowflake","Embeddings table created; sample vector insert/read OK.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","embeddings,vector","v0.1-MVP","Sprint 1","7200","7200","","SFDG.SF.DDL.001.S2","sql/vectorstore/schema.sql; sql/core/","Planned","High"
"ST-SF-002","Story","Staging + Snowpipe ingest","Create STAGE, FILE FORMAT and PIPE for embeddings & usage ingestion","Create FILE FORMAT for JSONL, user STAGE, and PIPE AUTO_INGEST to load embeddings/usage into STAGED_EMBEDDINGS / USAGE_EVENTS_STAGE; provide Cloud notifications guidance.","EPIC-SF-DG-MVP","Snowflake","Ingest","Snowflake","PUT to @~ then manual COPY and auto‑ingest via PIPE inserts rows into STAGED_ tables; SNOWPIPE notification config documented.","8","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","snowpipe,stage","v0.1-MVP","Sprint 1","14400","14400","","SFDG.SF.STAGE.002","sql/snowpipe_setup.sql; infra/snowflake_provisioning.py","Planned","High"
"SUB-SF-002-01","Sub-task","Create FILE FORMAT & STAGE","Create JSON FILE FORMAT and user_STAGE for embeddings","Implement CREATE FILE FORMAT and CREATE STAGE pointing to your S3 bucket with STORAGE_INTEGRATION.","ST-SF-002","Snowflake","FileFormat/Stage","Snowflake","Stage created and accessible; file format parses sample JSONL correctly.","3","onboarding@techkasetti.com","onboarding@techkasetti.com","High","fileformat,stage","v0.1-MVP","Sprint 1","3600","3600","","SFDG.SF.STAGE.002.S1","sql/snowpipe_setup.sql","Planned","High"
"SUB-SF-002-02","Sub-task","Create PIPE for auto-ingest","Create PIPE with AUTO_INGEST=TRUE to load into STAGED_EMBEDDINGS","Implement CREATE PIPE referencing the STAGE and FILE FORMAT; document required cloud notifications (SNS/SQS/Topic).","ST-SF-002","Snowflake","Pipe","Snowflake","PIPE ingests uploaded file to staging table when S3 notification fires; example ingest verified.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","High","pipe,snowpipe","v0.1-MVP","Sprint 1","7200","7200","","SFDG.SF.STAGE.002.S2","sql/snowpipe_setup.sql; infra/snowflake_provisioning.py","Planned","High"
"ST-SF-003","Story","Snowpark procedures (billing/ingest/entitlement)","Register and validate Snowpark stored procedures: run_billing_run (preview & final), entitlement_check, embedding_ingest_sp, ingest_usage_sp, write_evidence_bundle, generate_integration_key, validate_integration_key","Ensure all SPs are registered to AI_PLATFORM.AI_FEATURE_HUB and return the documented variants/structures for preview and auditability.","EPIC-SF-DG-MVP","Snowflake","Snowpark Procs","Snowpark (Python)","Stored procedures callable and preview returns line_items + invoice_hash identical to deterministic test; final run writes BILLING_RUN and BILLING_LINE_ITEM.","13","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","snowpark,proc,billing","v0.1-MVP","Sprint 1","28800","28800","","SFDG.SF.PROC.003","src/run_billing.py; src/entitlement_check.py; src/embedding_ingest_sp.py; src/ingest_usage_sp.py; src/write_evidence_bundle.py","Planned","High"
"SUB-SF-003-01","Sub-task","Register run_billing_run stored-proc","PUT run_billing.py to @~ and CREATE PROCEDURE ADMIN.RUN_BILLING_RUN(...)","Register stored-proc with IMPORTS pointing to @/run_billing.py and verify CALL returns preview JSON in staging.","ST-SF-003","Snowflake","Stored Proc","Snowpark","Procedure registered and CALL with preview=>TRUE returns expected JSON shape (line_items, invoice_hash).","8","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","proc,register","v0.1-MVP","Sprint 1","14400","14400","","SFDG.SF.PROC.003.S1","register/create_procedures_register.sql; register/register_all_procs.sh; infra/register_via_connector.py","Planned","High"
"SUB-SF-003-02","Sub-task","Register ingestion SPs (embedding_ingest_sp & ingest_usage_sp)","PUT embedding_ingest_sp.py & ingest_usage_sp.py to @ and CREATE PROCEDURE entries","Register idempotent ingestion stored-procs and run MERGE dry-run tests with sample staging file.","ST-SF-003","Snowflake","Stored Proc","Snowpark","Ingestion SPs registered; MERGE idempotency checks (duplicate idempotency_key) pass.","5","onboarding@techkasetti.com","onboarding@techkasetti.com","Highest","ingest,merge","v0.1-MVP","Sprint 1","7200","7200","","SFDG.SF.PROC.003.S2","register/create_procedures_register.sql; src/embedding_ingest_sp.py; src/ingest_usage_sp.py","Planned","High"
